Score,fasta_header,Organism Id,Organism Name,Genus species,Name,Track,Protein Id,Transcript Id,Location,Scaffold,Start,End,Strand,Annotations,User Annotations
0.066128,jgi|Hydfim1|934228|fgenesh1_kg.7_#_1913_#_TRINITY_DN5103_c3_g2_i5,Hydfim1,Hydnopolyporus fimbriatus CBS384.51 v1.0,Hydnopolyporus fimbriatus,fgenesh1_kg.7_#_1913_#_TRINITY_DN5103_c3_g2_i5,fgenesh1_kg,934228,934380,"scaffold_7:755,171-757,674 (+)",scaffold_7,755171,757674,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066128,jgi|Hydfim1|991664|gm1.3670_g,Hydfim1,Hydnopolyporus fimbriatus CBS384.51 v1.0,Hydnopolyporus fimbriatus,gm1.3670_g,Genemark1,991664,991816,"scaffold_7:519,582-521,404 (+)",scaffold_7,519582,521404,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066128,jgi|Hydfim1|994439|gm1.6445_g,Hydfim1,Hydnopolyporus fimbriatus CBS384.51 v1.0,Hydnopolyporus fimbriatus,gm1.6445_g,Genemark1,994439,994591,"scaffold_16:321,353-323,181 (+)",scaffold_16,321353,323181,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066128,jgi|Hydfim1|304777|CE304776_953,Hydfim1,Hydnopolyporus fimbriatus CBS384.51 v1.0,Hydnopolyporus fimbriatus,CE304776_953,,304777,304929,"scaffold_20:216,475-218,525 (-)",scaffold_20,216475,218525,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066123,jgi|Cerun2|114096|CE114095_15,Cerun2,Cerrena unicolor v1.1,Cerrena unicolor,CE114095_15,,114096,114311,"scaffold_29:89,343-90,204 (-)",scaffold_29,89343,90204,(-),TCDB:1.C.39.4.1,
0.066123,jgi|Cerun2|199342|CE199341_484,Cerun2,Cerrena unicolor v1.1,Cerrena unicolor,CE199341_484,,199342,199557,"scaffold_56:188,840-191,110 (-)",scaffold_56,188840,191110,(-),TCDB:1.C.39.4.1 IPRF:ipr001862 PFD:pf01823,
0.066123,jgi|Cytmel1|1094287|CE1094286_1495,Cytmel1,Cytidiella melzeri FP 102339 v1.0,Cytidiella melzeri,CE1094286_1495,,1094287,1094395,"scaffold_95:122,163-123,438 (-)",scaffold_95,122163,123438,(-),TCDB:1.C.39.4.1,
0.066123,jgi|Cytmel1|210307|CE210306_1708,Cytmel1,Cytidiella melzeri FP 102339 v1.0,Cytidiella melzeri,CE210306_1708,,210307,210415,"scaffold_149:7,107-9,141 (-)",scaffold_149,7107,9141,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066123,jgi|Cytmel1|1305642|fgenesh1_pg.55_#_40,Cytmel1,Cytidiella melzeri FP 102339 v1.0,Cytidiella melzeri,fgenesh1_pg.55_#_40,fgenesh1_pg,1305642,1305750,"scaffold_55:159,835-161,662 (-)",scaffold_55,159835,161662,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066123,jgi|Cytmel1|1308110|fgenesh1_pg.149_#_19,Cytmel1,Cytidiella melzeri FP 102339 v1.0,Cytidiella melzeri,fgenesh1_pg.149_#_19,fgenesh1_pg,1308110,1308218,"scaffold_149:84,793-86,653 (+)",scaffold_149,84793,86653,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066123,jgi|Cytmel1|1308095|fgenesh1_pg.149_#_4,Cytmel1,Cytidiella melzeri FP 102339 v1.0,Cytidiella melzeri,fgenesh1_pg.149_#_4,fgenesh1_pg,1308095,1308203,"scaffold_149:10,267-12,117 (-)",scaffold_149,10267,12117,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066123,jgi|Cytmel1|1310575|fgenesh1_pg.345_#_7,Cytmel1,Cytidiella melzeri FP 102339 v1.0,Cytidiella melzeri,fgenesh1_pg.345_#_7,fgenesh1_pg,1310575,1310683,"scaffold_345:27,258-29,068 (+)",scaffold_345,27258,29068,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066123,jgi|Cytmel1|1342552|fgenesh1_kg.55_#_329_#_TRINITY_DN1401_c0_g1_i1,Cytmel1,Cytidiella melzeri FP 102339 v1.0,Cytidiella melzeri,fgenesh1_kg.55_#_329_#_TRINITY_DN1401_c0_g1_i1,fgenesh1_kg,1342552,1342660,"scaffold_55:163,281-163,960 (-)",scaffold_55,163281,163960,(-),TCDB:1.C.39.4.1,
0.066123,jgi|Cytmel1|1410553|gm1.879_g,Cytmel1,Cytidiella melzeri FP 102339 v1.0,Cytidiella melzeri,gm1.879_g,Genemark1,1410553,1410661,"scaffold_6:292,710-293,304 (-)",scaffold_6,292710,293304,(-),TCDB:1.C.39.4.1,
0.066123,jgi|Cytmel1|1414277|gm1.4603_g,Cytmel1,Cytidiella melzeri FP 102339 v1.0,Cytidiella melzeri,gm1.4603_g,Genemark1,1414277,1414385,"scaffold_55:112,580-113,771 (-)",scaffold_55,112580,113771,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066123,jgi|Cytmel1|1414356|gm1.4682_g,Cytmel1,Cytidiella melzeri FP 102339 v1.0,Cytidiella melzeri,gm1.4682_g,Genemark1,1414356,1414464,"scaffold_57:17,031-18,840 (+)",scaffold_57,17031,18840,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066123,jgi|Cytmel1|1416168|gm1.6494_g,Cytmel1,Cytidiella melzeri FP 102339 v1.0,Cytidiella melzeri,gm1.6494_g,Genemark1,1416168,1416276,"scaffold_95:120,396-122,241 (+)",scaffold_95,120396,122241,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066123,jgi|Cytmel1|1418097|gm1.8423_g,Cytmel1,Cytidiella melzeri FP 102339 v1.0,Cytidiella melzeri,gm1.8423_g,Genemark1,1418097,1418205,"scaffold_149:80,236-82,061 (+)",scaffold_149,80236,82061,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066123,jgi|Cytmel1|1418800|gm1.9126_g,Cytmel1,Cytidiella melzeri FP 102339 v1.0,Cytidiella melzeri,gm1.9126_g,Genemark1,1418800,1418908,"scaffold_172:73,627-75,464 (+)",scaffold_172,73627,75464,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066123,jgi|Cytmel1|1421168|gm1.11494_g,Cytmel1,Cytidiella melzeri FP 102339 v1.0,Cytidiella melzeri,gm1.11494_g,Genemark1,1421168,1421276,"scaffold_273:46,226-48,061 (-)",scaffold_273,46226,48061,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066123,jgi|Cytmel1|1421905|gm1.12231_g,Cytmel1,Cytidiella melzeri FP 102339 v1.0,Cytidiella melzeri,gm1.12231_g,Genemark1,1421905,1422013,"scaffold_317:4,442-5,162 (-)",scaffold_317,4442,5162,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066123,jgi|Cytmel1|1422312|gm1.12638_g,Cytmel1,Cytidiella melzeri FP 102339 v1.0,Cytidiella melzeri,gm1.12638_g,Genemark1,1422312,1422420,"scaffold_345:32,121-33,927 (+)",scaffold_345,32121,33927,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066123,jgi|Cytmel1|1423177|gm1.13503_g,Cytmel1,Cytidiella melzeri FP 102339 v1.0,Cytidiella melzeri,gm1.13503_g,Genemark1,1423177,1423285,"scaffold_417:30,752-32,658 (-)",scaffold_417,30752,32658,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066123,jgi|Cytmel1|1423503|gm1.13829_g,Cytmel1,Cytidiella melzeri FP 102339 v1.0,Cytidiella melzeri,gm1.13829_g,Genemark1,1423503,1423611,"scaffold_448:8,734-10,579 (-)",scaffold_448,8734,10579,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066123,jgi|Cytmel1|1424503|gm1.14829_g,Cytmel1,Cytidiella melzeri FP 102339 v1.0,Cytidiella melzeri,gm1.14829_g,Genemark1,1424503,1424611,"scaffold_589:2,473-4,163 (+)",scaffold_589,2473,4163,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066123,jgi|Cytmel1|1478658|MIX53174_4554_99,Cytmel1,Cytidiella melzeri FP 102339 v1.0,Cytidiella melzeri,MIX53174_4554_99,,1478658,1478766,"scaffold_57:14,385-16,514 (+)",scaffold_57,14385,16514,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066123,jgi|Cytmel1|1517928|estExt_Genemark1.C_190050,Cytmel1,Cytidiella melzeri FP 102339 v1.0,Cytidiella melzeri,estExt_Genemark1.C_190050,estExt_Genemark1,1517928,1518036,"scaffold_19:140,638-142,778 (+)",scaffold_19,140638,142778,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066123,jgi|Cytmel1|1521807|estExt_Genemark1.C_1490001,Cytmel1,Cytidiella melzeri FP 102339 v1.0,Cytidiella melzeri,estExt_Genemark1.C_1490001,estExt_Genemark1,1521807,1521915,"scaffold_149:18-1,255 (-)",scaffold_149,18,1255,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066123,jgi|Cytmel1|1523903|estExt_Genemark1.C_3450010,Cytmel1,Cytidiella melzeri FP 102339 v1.0,Cytidiella melzeri,estExt_Genemark1.C_3450010,estExt_Genemark1,1523903,1524011,"scaffold_345:29,088-31,606 (-)",scaffold_345,29088,31606,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066123,jgi|Cytmel1|516999|CE516998_5135,Cytmel1,Cytidiella melzeri FP 102339 v1.0,Cytidiella melzeri,CE516998_5135,,516999,517107,"scaffold_273:50,070-52,291 (-)",scaffold_273,50070,52291,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066123,jgi|Cytmel1|637235|CE637234_2655,Cytmel1,Cytidiella melzeri FP 102339 v1.0,Cytidiella melzeri,CE637234_2655,,637235,637343,"scaffold_345:23,589-25,980 (+)",scaffold_345,23589,25980,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066123,jgi|Cytmel1|637306|CE637305_5572,Cytmel1,Cytidiella melzeri FP 102339 v1.0,Cytidiella melzeri,CE637305_5572,,637306,637414,"scaffold_345:35,702-37,793 (+)",scaffold_345,35702,37793,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066113,jgi|Hygaur1|1106805|fgenesh1_pg.879_#_1,Hygaur1,Hygrophoropsis aurantiaca ATCC 28755 v1.0,Hygrophoropsis aurantiaca,fgenesh1_pg.879_#_1,fgenesh1_pg,1106805,1107009,"scaffold_879:2,857-4,566 (+)",scaffold_879,2857,4566,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066113,jgi|Hygaur1|1119103|gm1.10670_g,Hygaur1,Hygrophoropsis aurantiaca ATCC 28755 v1.0,Hygrophoropsis aurantiaca,gm1.10670_g,Genemark1,1119103,1119307,"scaffold_779:6,009-7,668 (+)",scaffold_779,6009,7668,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066113,jgi|Irplac1183_1|1339570|CE1339569_7299,Irplac1183_1,Irpex lacteus DSM 1183 v1.0,Irpex lacteus,CE1339569_7299,,1339570,1340120,"scaffold_9:278,555-280,583 (+)",scaffold_9,278555,280583,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066113,jgi|Irplac1183_1|1342825|CE1342824_1800,Irplac1183_1,Irpex lacteus DSM 1183 v1.0,Irpex lacteus,CE1342824_1800,,1342825,1343375,"scaffold_9:438,010-439,937 (-)",scaffold_9,438010,439937,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066113,jgi|Irplac1183_1|1696061|fgenesh1_kg.22_#_417_#_TRINITY_DN7395_c0_g1_i4,Irplac1183_1,Irpex lacteus DSM 1183 v1.0,Irpex lacteus,fgenesh1_kg.22_#_417_#_TRINITY_DN7395_c0_g1_i4,fgenesh1_kg,1696061,1696611,"scaffold_22:284,012-285,920 (-)",scaffold_22,284012,285920,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066113,jgi|Irplac1183_1|1720257|fgenesh1_kg.48_#_278_#_TRINITY_DN9826_c1_g1_i2,Irplac1183_1,Irpex lacteus DSM 1183 v1.0,Irpex lacteus,fgenesh1_kg.48_#_278_#_TRINITY_DN9826_c1_g1_i2,fgenesh1_kg,1720257,1720807,"scaffold_48:193,759-195,837 (+)",scaffold_48,193759,195837,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066113,jgi|Irplac1183_1|1729137|gm4.4068_g,Irplac1183_1,Irpex lacteus DSM 1183 v1.0,Irpex lacteus,gm4.4068_g,Genemark4,1729137,1729687,"scaffold_4:1,916,570-1,918,337 (+)",scaffold_4,1916570,1918337,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066113,jgi|Irplac1183_1|1739404|gm4.14335_g,Irplac1183_1,Irpex lacteus DSM 1183 v1.0,Irpex lacteus,gm4.14335_g,Genemark4,1739404,1739954,"scaffold_19:449,284-451,113 (-)",scaffold_19,449284,451113,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066113,jgi|Irplac1183_1|1739437|gm4.14368_g,Irplac1183_1,Irpex lacteus DSM 1183 v1.0,Irpex lacteus,gm4.14368_g,Genemark4,1739437,1739987,"scaffold_19:543,211-545,026 (-)",scaffold_19,543211,545026,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066107,jgi|Albpec1|1677865|gm1.9159_g,Albpec1,Xanthoporus peckianus DAOM 52321 v1.0,Xanthoporus peckianus,gm1.9159_g,Genemark1,1677865,1678217,"scaffold_16:692,829-694,545 (-)",scaffold_16,692829,694545,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066107,jgi|Albpec1|1677866|gm1.9160_g,Albpec1,Xanthoporus peckianus DAOM 52321 v1.0,Xanthoporus peckianus,gm1.9160_g,Genemark1,1677866,1678218,"scaffold_16:695,727-697,496 (-)",scaffold_16,695727,697496,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066107,jgi|Albpec1|1700471|MIX16872_29_25,Albpec1,Xanthoporus peckianus DAOM 52321 v1.0,Xanthoporus peckianus,MIX16872_29_25,,1700471,1700823,"scaffold_16:728,789-730,818 (+)",scaffold_16,728789,730818,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066107,jgi|Albpec1|1726336|MIX42737_199_57,Albpec1,Xanthoporus peckianus DAOM 52321 v1.0,Xanthoporus peckianus,MIX42737_199_57,,1726336,1726688,"scaffold_35:114,326-116,079 (+)",scaffold_35,114326,116079,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066107,jgi|Albpec1|918206|CE918205_217,Albpec1,Xanthoporus peckianus DAOM 52321 v1.0,Xanthoporus peckianus,CE918205_217,,918206,918558,"scaffold_35:120,256-121,797 (+)",scaffold_35,120256,121797,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066107,jgi|Albpec1|918286|CE918285_4911,Albpec1,Xanthoporus peckianus DAOM 52321 v1.0,Xanthoporus peckianus,CE918285_4911,,918286,918638,"scaffold_35:162,316-164,323 (-)",scaffold_35,162316,164323,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066105,jgi|Irplac1|1435305|fgenesh1_pg.2_#_416,Irplac1,Irpex lacteus CCBAS Fr. 238 617/93 v1.0,Irpex lacteus,fgenesh1_pg.2_#_416,fgenesh1_pg,1435305,1435495,"scaffold_2:1,416,571-1,418,329 (-)",scaffold_2,1416571,1418329,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066105,jgi|Irplac1|1594516|gm1.8186_g,Irplac1,Irpex lacteus CCBAS Fr. 238 617/93 v1.0,Irpex lacteus,gm1.8186_g,Genemark1,1594516,1594706,"scaffold_26:220,562-222,384 (-)",scaffold_26,220562,222384,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066105,jgi|Irplac1|1646900|MIX44998_544_39,Irplac1,Irpex lacteus CCBAS Fr. 238 617/93 v1.0,Irpex lacteus,MIX44998_544_39,,1646900,1647090,"scaffold_42:147,213-148,811 (+)",scaffold_42,147213,148811,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066105,jgi|Irplac1|961154|CE961153_7233,Irplac1,Irpex lacteus CCBAS Fr. 238 617/93 v1.0,Irpex lacteus,CE961153_7233,,961154,961344,"scaffold_5:1,284,507-1,286,682 (-)",scaffold_5,1284507,1286682,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066105,jgi|Cont1119283|95242|fgenesh1_pg.302_#_5,Cont1119283,Clitocybe sp. JGI1119283 v1.0,Clitocybe sp.,fgenesh1_pg.302_#_5,fgenesh1_pg,95242,96092,"scaffold_302:17,614-19,442 (+)",scaffold_302,17614,19442,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066105,jgi|Cont1119283|116955|gm1.7449_g,Cont1119283,Clitocybe sp. JGI1119283 v1.0,Clitocybe sp.,gm1.7449_g,Genemark1,116955,117805,"scaffold_81:120,665-122,378 (+)",scaffold_81,120665,122378,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066105,jgi|Cont1119283|124127|gm1.14621_g,Cont1119283,Clitocybe sp. JGI1119283 v1.0,Clitocybe sp.,gm1.14621_g,Genemark1,124127,124977,"scaffold_302:12,271-12,889 (+)",scaffold_302,12271,12889,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066105,jgi|Cont1119283|124132|gm1.14626_g,Cont1119283,Clitocybe sp. JGI1119283 v1.0,Clitocybe sp.,gm1.14626_g,Genemark1,124132,124982,"scaffold_302:31,442-33,225 (+)",scaffold_302,31442,33225,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066103,jgi|Armmel1|1142448|gm1.13354_g,Armmel1,Armillaria mellea ELDO17 v1.0,Armillaria mellea,gm1.13354_g,Genemark1,1142448,1142992,"scaffold_9:2,180,910-2,182,773 (+)",scaffold_9,2180910,2182773,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066103,jgi|Armmel1|1225896|estExt_Genemark1.C_7_t30045,Armmel1,Armillaria mellea ELDO17 v1.0,Armillaria mellea,estExt_Genemark1.C_7_t30045,estExt_Genemark1,1225896,1226440,"scaffold_7:3,020,738-3,022,751 (+)",scaffold_7,3020738,3022751,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.0661,jgi|Armfum1|273967|CE273966_251,Armfum1,Armillaria fumosa CBS 122221 v1.0,Armillaria fumosa,CE273966_251,,273967,274413,"scaffold_14:692,331-694,711 (+)",scaffold_14,692331,694711,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.0661,jgi|Armfum1|274148|CE274147_163,Armfum1,Armillaria fumosa CBS 122221 v1.0,Armillaria fumosa,CE274147_163,,274148,274594,"scaffold_14:832,208-833,984 (+)",scaffold_14,832208,833984,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.0661,jgi|Armfum1|521911|CE521910_2963,Armfum1,Armillaria fumosa CBS 122221 v1.0,Armillaria fumosa,CE521910_2963,,521911,522357,"scaffold_26:105,484-107,341 (+)",scaffold_26,105484,107341,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066088,jgi|Chopur1|940372|fgenesh1_kg.142_#_90_#_TRINITY_DN6696_c0_g4_i1,Chopur1,Chondrostereum purpureum OMC1767 v1.0,Chondrostereum purpureum,fgenesh1_kg.142_#_90_#_TRINITY_DN6696_c0_g4_i1,fgenesh1_kg,940372,941170,"scaffold_142:122,672-124,428 (-)",scaffold_142,122672,124428,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066088,jgi|Chopur1|947029|fgenesh1_kg.190_#_62_#_TRINITY_DN6696_c0_g1_i1,Chopur1,Chondrostereum purpureum OMC1767 v1.0,Chondrostereum purpureum,fgenesh1_kg.190_#_62_#_TRINITY_DN6696_c0_g1_i1,fgenesh1_kg,947029,947827,"scaffold_190:60,378-62,243 (+)",scaffold_190,60378,62243,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066085,jgi|Armnov1|1067122|CE1067121_862,Armnov1,Armillaria novae-zelandiae 2840 v1.0,Armillaria novae-zelandiae,CE1067121_862,,1067122,1067680,"scaffold_8:227,192-229,132 (+)",scaffold_8,227192,229132,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066075,jgi|Armlut1|153136|CE153135_83095,Armlut1,Armillaria luteobubalina HWK02 v1.0,Armillaria luteobubalina,CE153135_83095,,153136,153136,"scaffold_13:977,044-979,468 (+)",scaffold_13,977044,979468,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066075,jgi|Armlut1|679984|CE679983_1097,Armlut1,Armillaria luteobubalina HWK02 v1.0,Armillaria luteobubalina,CE679983_1097,,679984,679984,"scaffold_5:533,264-535,301 (-)",scaffold_5,533264,535301,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066075,jgi|Armlut1|1425607|MIX53562_2_35,Armlut1,Armillaria luteobubalina HWK02 v1.0,Armillaria luteobubalina,MIX53562_2_35,,1425607,1426363,"scaffold_46:351,871-352,274 (+)",scaffold_46,351871,352274,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066075,jgi|Armlut1|1426639|MIX54594_4_19,Armlut1,Armillaria luteobubalina HWK02 v1.0,Armillaria luteobubalina,MIX54594_4_19,,1426639,1427395,"scaffold_5:557,725-558,639 (+)",scaffold_5,557725,558639,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
